2 threads, 4 cores

int seq_len = 64;
int embed_dim = 64;
int num_heads = 4;
int ff_hidden_dim = 128;

---------- Begin Simulation Statistics ----------
simSeconds                                   0.010144                       # Number of seconds simulated (Second)
simTicks                                  10143680500                       # Number of ticks simulated (Tick)
finalTick                                 10143680500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    523.77                       # Real time elapsed on the host (Second)
hostTickRate                                 19366571                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     797964                       # Number of bytes of host memory used (Byte)
simInsts                                     41639709                       # Number of instructions simulated (Count)
simOps                                       41682918                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    79500                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      79582                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        14283324                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.602243                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.660458                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       25000252                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  223668                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      24655355                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                 51968                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             1464447                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          1031938                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              36752                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           13536166                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.821443                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.992752                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  4868995     35.97%     35.97% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                  2636908     19.48%     55.45% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                  1968404     14.54%     69.99% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                  1251045      9.24%     79.23% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                  1076881      7.96%     87.19% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                   928707      6.86%     94.05% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                   437257      3.23%     97.28% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   189849      1.40%     98.68% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   178120      1.32%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total             13536166                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  82616     11.54%     11.54% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                 33925      4.74%     16.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::ZeroMult                    0      0.00%     16.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     16.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%     16.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    3      0.00%     16.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     16.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     16.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     16.28% # attempts to use FU when none available (Count)
