int seq_len = 8;
int embed_dim = 64;
int num_heads = 4;
int ff_hidden_dim = 128;

---------- Begin Simulation Statistics ----------
simSeconds                                   0.002256                       # Number of seconds simulated (Second)
simTicks                                   2255523500                       # Number of ticks simulated (Tick)
finalTick                                  2255523500                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    165.75                       # Real time elapsed on the host (Second)
hostTickRate                                 13608280                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     768260                       # Number of bytes of host memory used (Byte)
simInsts                                      7187483                       # Number of instructions simulated (Count)
simOps                                        7222096                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    43364                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      43573                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                         3949131                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.715210                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.398190                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                        5758190                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                  175610                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                       5786627                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  6628                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              377677                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           204995                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved              35452                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples            3775477                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.532688                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.902936                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  1617017     42.83%     42.83% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                   799409     21.17%     64.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                   439876     11.65%     75.65% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                   235800      6.25%     81.90% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                   313892      8.31%     90.21% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                   191985      5.09%     95.30% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                   104500      2.77%     98.07% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                    26411      0.70%     98.77% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                    46587      1.23%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total              3775477                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  11045      5.13%      5.13% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                  4241      1.97%      7.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::ZeroMult                    0      0.00%      7.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%      7.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                    0      0.00%      7.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%      7.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%      7.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%      7.09% # attempts to use FU when none available (Count)
