
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000567                       # Number of seconds simulated (Second)
simTicks                                    567255000                       # Number of ticks simulated (Tick)
finalTick                                   567255000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     23.81                       # Real time elapsed on the host (Second)
hostTickRate                                 23819655                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     685532                       # Number of bytes of host memory used (Byte)
simInsts                                      1705598                       # Number of instructions simulated (Count)
simOps                                        1708207                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    71619                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      71727                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu.numCycles                          1134511                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.665169                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.503377                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                         1850295                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                    14213                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                        1810235                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                   3849                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined               156300                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined            105985                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                2363                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             1021334                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.772422                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.987750                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                    382887     37.49%     37.49% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                    195162     19.11%     56.60% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    147952     14.49%     71.08% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     90228      8.83%     79.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                     80044      7.84%     87.76% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                     62101      6.08%     93.84% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                     35194      3.45%     97.28% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                     15488      1.52%     98.80% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     12278      1.20%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               1021334                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                    4043      7.06%      7.06% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                   2177      3.80%     10.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::ZeroMult                     0      0.00%     10.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     10.86% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                    30      0.05%     10.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     10.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     10.91% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    3      0.01%     10.92% # attempts to use FU when none available (Count)
