
---------- Begin Simulation Statistics ----------
simSeconds                                   0.000268                       # Number of seconds simulated (Second)
simTicks                                    268396000                       # Number of ticks simulated (Tick)
finalTick                                   328242000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                      6.58                       # Real time elapsed on the host (Second)
hostTickRate                                 40776590                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     670916                       # Number of bytes of host memory used (Byte)
simInsts                                       464717                       # Number of instructions simulated (Count)
simOps                                         464721                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                    70600                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                      70600                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                           268396                       # Number of cpu cycles simulated (Cycle)
system.cpu.cpi                               0.584555                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu.ipc                               1.710704                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                          459712                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                       26                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                         459523                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                      7                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined                  590                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined               497                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                  17                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples              265681                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.729604                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.100190                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                     68702     25.86%     25.86% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                       173      0.07%     25.92% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                    131167     49.37%     75.29% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                     65578     24.68%     99.98% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                        31      0.01%     99.99% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                        22      0.01%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                         8      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                         0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 6                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total                265681                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMultAcc                 0      0.00%      0.00% # attempts to use FU when none available (Count)
